id_product;energy_100g;fat_100g;saturated_fat_100g;carbohydrates_100g;sugars_100g;proteins_100g;nutrition_score_fr_100g;energy_kcal_100g;ecoscore_score
1386900;1717.0;10.9;7.0;73.5;49.3;3.0;28.0;;
1004147;1898.0;15.5;1.3;68.0;2.0;8.5;10.0;;81
1038178;2040.0;25.0;14.0;56.0;33.0;7.0;19.0;;55
1336547;1061.0;20.1;1.14;0.9;0.9;17.1;2.0;256.0;39
1016773;1954.0;18.0;10.3;70.3;36.1;6.0;23.0;467.0;54
1306465;1480.0;0.5;0.0;78.0;0.0;7.5;-1.0;354.0;50
1146972;1464.0;0.82;0.19;78.18;0.04;7.05;0.0;350.0;17
1411759;2190.0;29.0;;59.0;;8.0;;;50
1336648;1128.0;22.2;4.46;3.6;1.8;13.9;5.0;272.0;57
1336638;1147.0;22.2;9.59;2.2;1.4;16.5;10.0;277.0;28
1336528;951.0;19.3;2.62;1.8;0.6;11.9;3.0;230.0;11
1175644;224.0;0.3;0.1;1.0;1.0;11.5;0.0;;
1405138;167.0;0.1;0.0;8.6;8.5;0.3;12.0;40.0;58
1405139;201.0;0.1;0.02;11.5;11.1;0.2;15.0;48.0;18
1310798;577.0;0.2;0.1;5.1;;28.4;;136.0;26
1452476;2239.0;34.0;2.9;47.0;22.0;3.9;7.0;529.0;
1452480;2226.0;26.2;4.2;62.0;29.7;3.7;14.0;532.0;
1071002;1038.0;7.3;1.8;37.0;6.1;7.7;4.0;248.0;
1131014;2096.0;24.5;4.45;62.0;20.7;6.2;12.0;501.0;65
1425282;222.0;0.5;0.1;12.0;12.0;0.5;6.0;53.0;32
1115221;950.0;15.0;3.3;0.0;0.0;23.0;4.0;227.0;38
796424;1644.0;32.2;21.9;0.0;0.0;24.9;16.0;393.0;8
1321972;202.0;0.1;0.0;10.9;9.2;0.6;4.0;;9
1047861;2759.0;74.0;7.5;0.1;0.1;0.1;14.0;;46
1133061;297.0;0.2;0.1;16.5;16.0;0.4;1.0;71.0;81
1044855;1674.0;0.0;0.0;100.0;100.0;0.0;14.0;400.0;50
1827074;;41.6;27.2;40.0;35.1;4.0;;;25
1933549;;;;;;6.0;;;
1116475;745.0;13.7;1.0;10.0;6.3;2.1;4.0;178.0;109
1148785;213.0;0.1;0.0;15.2;12.0;0.5;16.0;51.0;37
1162658;1377.0;27.0;18.0;0.5;0.5;21.0;15.0;329.0;66
1014083;1540.0;10.0;1.5;65.0;35.0;4.7;13.0;366.0;
2580967;14.0;0.1;0.1;0.2;0.1;0.4;4.0;3.0;
1829227;117.0;0.9;0.4;4.4;1.2;0.4;;;
1826048;367.0;0.1;0.1;33.0;0.5;0.5;;137.0;79
1158641;184.0;0.0;0.0;11.0;11.0;0.0;15.0;44.0;58
1113568;238.0;1.4;1.3;13.5;13.5;0.6;18.0;57.0;58
1037346;3033.0;80.0;55.2;0.5;0.5;0.7;27.0;725.0;34
1203874;17.0;0.17;0.02;0.57;0.0;0.28;1.0;4.0;2
1007364;703.0;7.6;4.2;18.3;6.2;6.4;;168.0;
1137725;226.0;0.0;0.0;13.0;13.0;0.0;17.0;54.0;
1132818;91.0;0.9;0.5;1.9;0.6;1.4;-4.0;;
1007793;176.0;2.0;1.1;5.3;2.4;0.7;3.0;;92
1007142;2320.0;37.8;22.3;38.6;34.4;7.7;18.0;;30
1060616;136.0;0.0;0.0;8.0;8.0;0.0;11.0;32.0;
1189235;1510.0;3.16;0.53;69.54;0.83;10.85;-6.0;361.0;121
1005021;328.0;1.7;1.1;12.6;12.4;2.9;20.0;78.0;45
1729372;669.0;2.3;0.2;31.1;0.4;3.2;1.0;160.0;
1066454;1140.0;23.0;16.0;0.1;0.1;17.0;14.0;275.0;47
